Image,"Center (x, y)",Radius,Pixel Intensity,Distance from Origin,4x4 Intensity Matrix,Bright Region Dimensions
frame_0000.png,"(298, 245)",3,251,385.78361810735305,"[[192 208 220 219]
 [233 236 247 251]
 [236 239 251 250]
 [246 246 250 251]]","(8, 8)"
frame_0001.png,"(298, 244)",3,253,385.14932169224966,"[[242 243 247 248]
 [245 244 251 252]
 [250 254 253 253]
 [246 253 254 249]]","(7, 7)"
frame_0002.png,"(296, 242)",3,249,382.3349317025584,"[[233 237 240 248]
 [237 238 250 250]
 [248 251 249 253]
 [250 253 253 250]]","(7, 8)"
frame_0003.png,"(296, 242)",3,255,382.3349317025584,"[[236 244 249 255]
 [242 243 251 250]
 [247 253 255 251]
 [254 254 249 254]]","(7, 8)"
frame_0004.png,"(295, 241)",4,254,380.9278146840947,"[[205 233 233 242]
 [230 253 252 252]
 [231 244 254 254]
 [232 247 249 251]]","(8, 9)"
frame_0005.png,"(295, 238)",4,253,379.0369375140106,"[[237 252 252 252]
 [238 252 252 252]
 [247 249 253 255]
 [248 250 255 251]]","(7, 8)"
frame_0006.png,"(295, 234)",4,250,376.5381786751511,"[[202 242 244 249]
 [208 243 245 251]
 [237 250 250 252]
 [240 254 249 255]]","(7, 8)"
frame_0007.png,"(296, 231)",4,250,375.4690400019687,"[[215 223 250 251]
 [246 246 251 252]
 [246 246 250 251]
 [246 249 252 250]]","(8, 9)"
frame_0008.png,"(296, 225)",4,249,371.8077460193642,"[[191 212 243 246]
 [234 243 255 255]
 [237 244 249 255]
 [244 247 250 251]]","(7, 9)"
frame_0009.png,"(298, 221)",3,250,371.0053907964142,"[[192 206 226 229]
 [234 239 254 254]
 [237 239 250 252]
 [244 245 253 255]]","(8, 8)"
frame_0010.png,"(301, 218)",4,252,371.6517186829626,"[[206 246 247 249]
 [211 249 251 251]
 [241 252 252 253]
 [242 253 251 255]]","(7, 8)"
frame_0011.png,"(304, 215)",4,252,372.34526987730084,"[[169 193 228 229]
 [221 231 253 255]
 [232 232 252 252]
 [251 252 252 251]]","(9, 8)"
frame_0012.png,"(312, 213)",5,254,377.7737418085063,"[[204 209 236 236]
 [246 247 253 251]
 [246 246 254 247]
 [252 252 252 247]]","(11, 8)"
frame_0013.png,"(322, 213)",4,254,386.0738271367278,"[[215 218 240 241]
 [248 249 252 252]
 [249 252 254 249]
 [246 245 251 243]]","(10, 7)"
frame_0014.png,"(329, 212)",4,250,391.38855374167497,"[[194 231 237 245]
 [204 237 237 245]
 [244 253 250 249]
 [242 250 249 249]]","(8, 8)"
frame_0015.png,"(337, 213)",4,252,398.67028983860837,"[[208 223 222 216]
 [249 252 252 253]
 [251 248 252 255]
 [249 249 252 252]]","(10, 7)"
frame_0016.png,"(347, 212)",4,251,406.63620104461927,"[[207 247 246 250]
 [214 247 246 252]
 [248 250 251 253]
 [248 255 255 251]]","(9, 7)"
frame_0017.png,"(351, 213)",3,249,410.5727706509529,"[[200 219 223 233]
 [220 249 250 252]
 [224 253 249 255]
 [215 247 248 251]]","(8, 7)"
frame_0018.png,"(355, 212)",3,251,413.48397792417546,"[[205 238 244 246]
 [212 242 244 246]
 [243 251 251 254]
 [240 251 252 251]]","(8, 7)"
frame_0019.png,"(357, 211)",3,249,414.69265727765185,"[[185 206 210 225]
 [215 244 250 248]
 [219 250 249 252]
 [238 254 251 250]]","(7, 8)"
frame_0020.png,"(360, 212)",3,242,417.78463351348864,"[[227 232 253 248]
 [234 233 252 249]
 [246 249 242 250]
 [243 247 251 243]]","(7, 7)"
frame_0021.png,"(361, 212)",3,254,418.6466290321708,"[[165 230 236 245]
 [192 236 234 245]
 [214 252 254 245]
 [218 255 254 250]]","(7, 8)"
frame_0022.png,"(359, 211)",3,243,416.41565772674784,"[[202 216 222 245]
 [209 237 246 251]
 [209 245 243 252]
 [182 232 238 252]]","(8, 7)"
frame_0023.png,"(355, 209)",4,253,411.9538809138712,"[[182 203 208 223]
 [227 252 251 249]
 [232 251 253 253]
 [245 247 244 249]]","(9, 7)"
frame_0024.png,"(351, 209)",4,251,408.5119337302155,"[[220 240 241 240]
 [247 248 254 250]
 [248 249 251 251]
 [240 249 253 253]]","(9, 8)"
frame_0025.png,"(342, 207)",4,250,399.7661816612306,"[[241 242 247 246]
 [250 250 252 250]
 [250 250 250 251]
 [235 236 243 246]]","(10, 8)"
frame_0026.png,"(331, 203)",5,251,388.29112789246165,"[[229 230 229 219]
 [251 251 252 253]
 [253 251 251 248]
 [242 250 252 252]]","(11, 8)"
frame_0027.png,"(320, 201)",4,251,377.8901956918173,"[[242 243 247 248]
 [253 254 253 253]
 [250 253 251 253]
 [248 248 251 251]]","(10, 8)"
frame_0028.png,"(312, 196)",5,253,368.4562389212591,"[[251 251 252 244]
 [251 248 252 250]
 [251 252 253 254]
 [248 251 253 254]]","(10, 9)"
frame_0029.png,"(307, 190)",4,251,361.03877908058575,"[[231 248 252 242]
 [233 252 252 245]
 [242 252 251 251]
 [243 252 251 253]]","(7, 9)"
