Image,"Center (x, y)",Radius,Pixel Intensity
frame_0000.png,"(298, 245)",3,-5
frame_0001.png,"(298, 244)",3,-3
frame_0002.png,"(296, 242)",3,-7
frame_0003.png,"(296, 242)",3,-1
frame_0004.png,"(295, 241)",4,-2
frame_0005.png,"(295, 238)",4,-3
frame_0006.png,"(295, 234)",4,-6
frame_0007.png,"(296, 231)",4,-6
frame_0008.png,"(296, 225)",4,-7
frame_0009.png,"(298, 221)",3,-6
frame_0010.png,"(301, 218)",4,-4
frame_0011.png,"(304, 215)",4,-4
frame_0012.png,"(312, 213)",5,-2
frame_0013.png,"(322, 213)",4,-2
frame_0014.png,"(329, 212)",4,-6
frame_0015.png,"(337, 213)",4,-4
frame_0016.png,"(347, 212)",4,-5
frame_0017.png,"(351, 213)",3,-7
frame_0018.png,"(355, 212)",3,-5
frame_0019.png,"(357, 211)",3,-7
frame_0020.png,"(360, 212)",3,-14
frame_0021.png,"(361, 212)",3,-2
frame_0022.png,"(359, 211)",3,-13
frame_0023.png,"(355, 209)",4,-3
frame_0024.png,"(351, 209)",4,-5
frame_0025.png,"(342, 207)",4,-6
frame_0026.png,"(331, 203)",5,-5
frame_0027.png,"(320, 201)",4,-5
frame_0028.png,"(312, 196)",5,-3
frame_0029.png,"(307, 190)",4,-5
