Image,"Center (x, y)",Radius,Pixel Intensity,Distance from Origin
frame_0000.png,"(298, 245)",3,251,385.78361810735305
frame_0001.png,"(298, 244)",3,253,385.14932169224966
frame_0002.png,"(296, 242)",3,249,382.3349317025584
frame_0003.png,"(296, 242)",3,255,382.3349317025584
frame_0004.png,"(295, 241)",4,254,380.9278146840947
frame_0005.png,"(295, 238)",4,253,379.0369375140106
frame_0006.png,"(295, 234)",4,250,376.5381786751511
frame_0007.png,"(296, 231)",4,250,375.4690400019687
frame_0008.png,"(296, 225)",4,249,371.8077460193642
frame_0009.png,"(298, 221)",3,250,371.0053907964142
frame_0010.png,"(301, 218)",4,252,371.6517186829626
frame_0011.png,"(304, 215)",4,252,372.34526987730084
frame_0012.png,"(312, 213)",5,254,377.7737418085063
frame_0013.png,"(322, 213)",4,254,386.0738271367278
frame_0014.png,"(329, 212)",4,250,391.38855374167497
frame_0015.png,"(337, 213)",4,252,398.67028983860837
frame_0016.png,"(347, 212)",4,251,406.63620104461927
frame_0017.png,"(351, 213)",3,249,410.5727706509529
frame_0018.png,"(355, 212)",3,251,413.48397792417546
frame_0019.png,"(357, 211)",3,249,414.69265727765185
frame_0020.png,"(360, 212)",3,242,417.78463351348864
frame_0021.png,"(361, 212)",3,254,418.6466290321708
frame_0022.png,"(359, 211)",3,243,416.41565772674784
frame_0023.png,"(355, 209)",4,253,411.9538809138712
frame_0024.png,"(351, 209)",4,251,408.5119337302155
frame_0025.png,"(342, 207)",4,250,399.7661816612306
frame_0026.png,"(331, 203)",5,251,388.29112789246165
frame_0027.png,"(320, 201)",4,251,377.8901956918173
frame_0028.png,"(312, 196)",5,253,368.4562389212591
frame_0029.png,"(307, 190)",4,251,361.03877908058575
